x,y,z
0.721406,-2.57377,97.0664
0.73099,-2.57092,97.0628
0.740573,-2.56806,97.0591
0.750156,-2.5652,97.0555
0.759739,-2.56234,97.0518
0.769322,-2.55949,97.0482
0.778905,-2.55663,97.0446
0.788488,-2.55377,97.0409
0.798072,-2.55092,97.0373
0.807655,-2.54806,97.0336
0.817238,-2.5452,97.03
0.826821,-2.54234,97.0264
0.836404,-2.53949,97.0227
0.845987,-2.53663,97.0191
0.85557,-2.53377,97.0154
0.865154,-2.53092,97.0118
0.874737,-2.52806,97.0082
0.88432,-2.5252,97.0045
0.893903,-2.52234,97.0009
0.903486,-2.51949,96.9972
0.913069,-2.51663,96.9936
0.922653,-2.51377,96.99
0.932236,-2.51092,96.9863
0.941819,-2.50806,96.9827
0.951402,-2.5052,96.979
0.960985,-2.50234,96.9754
0.970568,-2.49949,96.9718
0.980151,-2.49663,96.9681
0.989734,-2.49377,96.9645
0.999318,-2.49092,96.9608
1.0089,-2.48806,96.9572
1.01848,-2.4852,96.9536
1.02807,-2.48234,96.9499
1.03765,-2.47949,96.9463
1.04723,-2.47663,96.9426
1.05682,-2.47377,96.939
1.0664,-2.47092,96.9354
1.07598,-2.46806,96.9317
